VCD info: dumpfile ula_or.vcd opened for output.

### Test: or
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
       333    0x02    0x01    0x4d    0x4d    0x4d
       334    0x02    0x01    0x4e    0x4f    0x4f
       335    0x02    0x01    0x4f    0x4f    0x4f
       336    0x02    0x01    0x50    0x51    0x51
       337    0x02    0x01    0x51    0x51    0x51
       338    0x02    0x01    0x52    0x53    0x53
       339    0x02    0x01    0x53    0x53    0x53
       340    0x02    0x01    0x54    0x55    0x55
       341    0x02    0x01    0x55    0x55    0x55
       342    0x02    0x01    0x56    0x57    0x57
       343    0x02    0x01    0x57    0x57    0x57
       344    0x02    0x01    0x58    0x59    0x59
       345    0x02    0x01    0x59    0x59    0x59
       346    0x02    0x01    0x5a    0x5b    0x5b
       347    0x02    0x01    0x5b    0x5b    0x5b
       348    0x02    0x01    0x5c    0x5d    0x5d
       349    0x02    0x01    0x5d    0x5d    0x5d
       350    0x02    0x01    0x5e    0x5f    0x5f
       351    0x02    0x01    0x5f    0x5f    0x5f
       352    0x02    0x01    0x60    0x61    0x61
       353    0x02    0x01    0x61    0x61    0x61
       354    0x02    0x01    0x62    0x63    0x63
       355    0x02    0x01    0x63    0x63    0x63
       356    0x02    0x01    0x64    0x65    0x65
       357    0x02    0x01    0x65    0x65    0x65
       358    0x02    0x01    0x66    0x67    0x67
       359    0x02    0x01    0x67    0x67    0x67
       360    0x02    0x01    0x68    0x69    0x69
       361    0x02    0x01    0x69    0x69    0x69
       362    0x02    0x01    0x6a    0x6b    0x6b
       363    0x02    0x01    0x6b    0x6b    0x6b
       364    0x02    0x01    0x6c    0x6d    0x6d
       365    0x02    0x01    0x6d    0x6d    0x6d
       366    0x02    0x01    0x6e    0x6f    0x6f
       367    0x02    0x01    0x6f    0x6f    0x6f
       368    0x02    0x01    0x70    0x71    0x71
       369    0x02    0x01    0x71    0x71    0x71
       370    0x02    0x01    0x72    0x73    0x73
       371    0x02    0x01    0x73    0x73    0x73
       372    0x02    0x01    0x74    0x75    0x75
       373    0x02    0x01    0x75    0x75    0x75
       374    0x02    0x01    0x76    0x77    0x77
       375    0x02    0x01    0x77    0x77    0x77
       376    0x02    0x01    0x78    0x79    0x79
       377    0x02    0x01    0x79    0x79    0x79
       378    0x02    0x01    0x7a    0x7b    0x7b
       379    0x02    0x01    0x7b    0x7b    0x7b
       380    0x02    0x01    0x7c    0x7d    0x7d
       381    0x02    0x01    0x7d    0x7d    0x7d
       382    0x02    0x01    0x7e    0x7f    0x7f
