VCD info: dumpfile ula_and.vcd opened for output.

### Test: and
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
       235    0x01    0x00    0xeb    0x00    0x00
       236    0x01    0x00    0xec    0x00    0x00
       237    0x01    0x00    0xed    0x00    0x00
       238    0x01    0x00    0xee    0x00    0x00
       239    0x01    0x00    0xef    0x00    0x00
       240    0x01    0x00    0xf0    0x00    0x00
       241    0x01    0x00    0xf1    0x00    0x00
       242    0x01    0x00    0xf2    0x00    0x00
       243    0x01    0x00    0xf3    0x00    0x00
       244    0x01    0x00    0xf4    0x00    0x00
       245    0x01    0x00    0xf5    0x00    0x00
       246    0x01    0x00    0xf6    0x00    0x00
       247    0x01    0x00    0xf7    0x00    0x00
       248    0x01    0x00    0xf8    0x00    0x00
       249    0x01    0x00    0xf9    0x00    0x00
       250    0x01    0x00    0xfa    0x00    0x00
       251    0x01    0x00    0xfb    0x00    0x00
       252    0x01    0x00    0xfc    0x00    0x00
       253    0x01    0x00    0xfd    0x00    0x00
       254    0x01    0x00    0xfe    0x00    0x00
       255    0x01    0x00    0xff    0x00    0x00

      TIME   ULA_OP     A       B    RESULT EXPECTED
       256    0x01    0x01    0x00    0x00    0x00
       257    0x01    0x01    0x01    0x01    0x01
       258    0x01    0x01    0x02    0x00    0x00
       259    0x01    0x01    0x03    0x01    0x01
       260    0x01    0x01    0x04    0x00    0x00
       261    0x01    0x01    0x05    0x01    0x01
       262    0x01    0x01    0x06    0x00    0x00
       263    0x01    0x01    0x07    0x01    0x01
       264    0x01    0x01    0x08    0x00    0x00
       265    0x01    0x01    0x09    0x01    0x01
       266    0x01    0x01    0x0a    0x00    0x00
       267    0x01    0x01    0x0b    0x01    0x01
       268    0x01    0x01    0x0c    0x00    0x00
       269    0x01    0x01    0x0d    0x01    0x01
       270    0x01    0x01    0x0e    0x00    0x00
       271    0x01    0x01    0x0f    0x01    0x01
       272    0x01    0x01    0x10    0x00    0x00
       273    0x01    0x01    0x11    0x01    0x01
       274    0x01    0x01    0x12    0x00    0x00
       275    0x01    0x01    0x13    0x01    0x01
       276    0x01    0x01    0x14    0x00    0x00
       277    0x01    0x01    0x15    0x01    0x01
       278    0x01    0x01    0x16    0x00    0x00
       279    0x01    0x01    0x17    0x01    0x01
       280    0x01    0x01    0x18    0x00    0x00
       281    0x01    0x01    0x19    0x01    0x01
       282    0x01    0x01    0x1a    0x00    0x00
       283    0x01    0x01    0x1b    0x01    0x01
       284    0x01    0x01    0x1c    0x00    0x00
       285    0x01    0x01    0x1d    0x01    0x01
       286    0x01    0x01    0x1e    0x00    0x00
       287    0x01    0x01    0x1f    0x01    0x01
       288    0x01    0x01    0x20    0x00    0x00
       289    0x01    0x01    0x21    0x01    0x01
       290    0x01    0x01    0x22    0x00    0x00
       291    0x01    0x01    0x23    0x01    0x01
       292    0x01    0x01    0x24    0x00    0x00
       293    0x01    0x01    0x25    0x01    0x01
       294    0x01    0x01    0x26    0x00    0x00
       295    0x01    0x01    0x27    0x01    0x01
       296    0x01    0x01    0x28    0x00    0x00
       297    0x01    0x01    0x29    0x01    0x01
       298    0x01    0x01    0x2a    0x00    0x00
       299    0x01    0x01    0x2b    0x01    0x01
       300    0x01    0x01    0x2c    0x00    0x00
       301    0x01    0x01    0x2d    0x01    0x01
       302    0x01    0x01    0x2e    0x00    0x00
       303    0x01    0x01    0x2f    0x01    0x01
       304    0x01    0x01    0x30    0x00    0x00
       305    0x01    0x01    0x31    0x01    0x01
       306    0x01    0x01    0x32    0x00    0x00
       307    0x01    0x01    0x33    0x01    0x01
       308    0x01    0x01    0x34    0x00    0x00
       309    0x01    0x01    0x35    0x01    0x01
       310    0x01    0x01    0x36    0x00    0x00
       311    0x01    0x01    0x37    0x01    0x01
       312    0x01    0x01    0x38    0x00    0x00
       313    0x01    0x01    0x39    0x01    0x01
       314    0x01    0x01    0x3a    0x00    0x00
       315    0x01    0x01    0x3b    0x01    0x01
       316    0x01    0x01    0x3c    0x00    0x00
       317    0x01    0x01    0x3d    0x01    0x01
       318    0x01    0x01    0x3e    0x00    0x00
       319    0x01    0x01    0x3f    0x01    0x01
       320    0x01    0x01    0x40    0x00    0x00
       321    0x01    0x01    0x41    0x01    0x01
       322    0x01    0x01    0x42    0x00    0x00
       323    0x01    0x01    0x43    0x01    0x01
       324    0x01    0x01    0x44    0x00    0x00
       325    0x01    0x01    0x45    0x01    0x01
       326    0x01    0x01    0x46    0x00    0x00
       327    0x01    0x01    0x47    0x01    0x01
       328    0x01    0x01    0x48    0x00    0x00
       329    0x01    0x01    0x49    0x01    0x01
       330    0x01    0x01    0x4a    0x00    0x00
       331    0x01    0x01    0x4b    0x01    0x01
       332    0x01    0x01    0x4c    0x00    0x00
       333    0x01    0x01    0x4d    0x01    0x01
       334    0x01    0x01    0x4e    0x00    0x00
       335    0x01    0x01    0x4f    0x01    0x01
       336    0x01    0x01    0x50    0x00    0x00
       337    0x01    0x01    0x51    0x01    0x01
       338    0x01    0x01    0x52    0x00    0x00
       339    0x01    0x01    0x53    0x01    0x01
       340    0x01    0x01    0x54    0x00    0x00
       341    0x01    0x01    0x55    0x01    0x01
       342    0x01    0x01    0x56    0x00    0x00
       343    0x01    0x01    0x57    0x01    0x01
       344    0x01    0x01    0x58    0x00    0x00
       345    0x01    0x01    0x59    0x01    0x01
       346    0x01    0x01    0x5a    0x00    0x00
       347    0x01    0x01    0x5b    0x01    0x01
       348    0x01    0x01    0x5c    0x00    0x00
       349    0x01    0x01    0x5d    0x01    0x01
       350    0x01    0x01    0x5e    0x00    0x00
       351    0x01    0x01    0x5f    0x01    0x01
       352    0x01    0x01    0x60    0x00    0x00
       353    0x01    0x01    0x61    0x01    0x01
       354    0x01    0x01    0x62    0x00    0x00
       355    0x01    0x01    0x63    0x01    0x01
       356    0x01    0x01    0x64    0x00    0x00
       357    0x01    0x01    0x65    0x01    0x01
       358    0x01    0x01    0x66    0x00    0x00
       359    0x01    0x01    0x67    0x01    0x01
       360    0x01    0x01    0x68    0x00    0x00
       361    0x01    0x01    0x69    0x01    0x01
       362    0x01    0x01    0x6a    0x00    0x00
       363    0x01    0x01    0x6b    0x01    0x01
       364    0x01    0x01    0x6c    0x00    0x00
       365    0x01    0x01    0x6d    0x01    0x01
       366    0x01    0x01    0x6e    0x00    0x00
       367    0x01    0x01    0x6f    0x01    0x01
       368    0x01    0x01    0x70    0x00    0x00
       369    0x01    0x01    0x71    0x01    0x01
       370    0x01    0x01    0x72    0x00    0x00
       371    0x01    0x01    0x73    0x01    0x01
       372    0x01    0x01    0x74    0x00    0x00
       373    0x01    0x01    0x75    0x01    0x01
       374    0x01    0x01    0x76    0x00    0x00
       375    0x01    0x01    0x77    0x01    0x01
       376    0x01    0x01    0x78    0x00    0x00
       377    0x01    0x01    0x79    0x01    0x01
       378    0x01    0x01    0x7a    0x00    0x00
       379    0x01    0x01    0x7b    0x01    0x01
       380    0x01    0x01    0x7c    0x00    0x00
       381    0x01    0x01    0x7d    0x01    0x01
       382    0x01    0x01    0x7e    0x00    0x00
       383    0x01    0x01    0x7f    0x01    0x01
       384    0x01    0x01    0x80    0x00    0x00
       385    0x01    0x01    0x81    0x01    0x01
       386    0x01    0x01    0x82    0x00    0x00
       387    0x01    0x01    0x83    0x01    0x01
       388    0x01    0x01    0x84    0x00    0x00
       389    0x01    0x01    0x85    0x01    0x01
       390    0x01    0x01    0x86    0x00    0x00
       391    0x01    0x01    0x87    0x01    0x01
       392    0x01    0x01    0x88    0x00    0x00
       393    0x01    0x01    0x89    0x01    0x01
       394    0x01    0x01    0x8a    0x00    0x00
       395    0x01    0x01    0x8b    0x01    0x01
       396    0x01    0x01    0x8c    0x00    0x00
       397    0x01    0x01    0x8d    0x01    0x01
       398    0x01    0x01    0x8e    0x00    0x00
       399    0x01    0x01    0x8f    0x01    0x01
       400    0x01    0x01    0x90    0x00    0x00
       401    0x01    0x01    0x91    0x01    0x01
       402    0x01    0x01    0x92    0x00    0x00
       403    0x01    0x01    0x93    0x01    0x01
       404    0x01    0x01    0x94    0x00    0x00
       405    0x01    0x01    0x95    0x01    0x01
       406    0x01    0x01    0x96    0x00    0x00
       407    0x01    0x01    0x97    0x01    0x01
       408    0x01    0x01    0x98    0x00    0x00
       409    0x01    0x01    0x99    0x01    0x01
       410    0x01    0x01    0x9a    0x00    0x00
       411    0x01    0x01    0x9b    0x01    0x01
       412    0x01    0x01    0x9c    0x00    0x00
       413    0x01    0x01    0x9d    0x01    0x01
       414    0x01    0x01    0x9e    0x00    0x00
       415    0x01    0x01    0x9f    0x01    0x01
       416    0x01    0x01    0xa0    0x00    0x00
       417    0x01    0x01    0xa1    0x01    0x01
       418    0x01    0x01    0xa2    0x00    0x00
       419    0x01    0x01    0xa3    0x01    0x01
       420    0x01    0x01    0xa4    0x00    0x00
       421    0x01    0x01    0xa5    0x01    0x01
       422    0x01    0x01    0xa6    0x00    0x00
       423    0x01    0x01    0xa7    0x01    0x01
       424    0x01    0x01    0xa8    0x00    0x00
       425    0x01    0x01    0xa9    0x01    0x01
       426    0x01    0x01    0xaa    0x00    0x00
       427    0x01    0x01    0xab    0x01    0x01
       428    0x01    0x01    0xac    0x00    0x00
       429    0x01    0x01    0xad    0x01    0x01
       430    0x01    0x01    0xae    0x00    0x00
       431    0x01    0x01    0xaf    0x01    0x01
       432    0x01    0x01    0xb0    0x00    0x00
       433    0x01    0x01    0xb1    0x01    0x01
       434    0x01    0x01    0xb2    0x00    0x00
       435    0x01    0x01    0xb3    0x01    0x01
       436    0x01    0x01    0xb4    0x00    0x00
       437    0x01    0x01    0xb5    0x01    0x01
       438    0x01    0x01    0xb6    0x00    0x00
       439    0x01    0x01    0xb7    0x01    0x01
       440    0x01    0x01    0xb8    0x00    0x00
       441    0x01    0x01    0xb9    0x01    0x01
       442    0x01    0x01    0xba    0x00    0x00
       443    0x01    0x01    0xbb    0x01    0x01
       444    0x01    0x01    0xbc    0x00    0x00
       445    0x01    0x01    0xbd    0x01    0x01
       446    0x01    0x01    0xbe    0x00    0x00
       447    0x01    0x01    0xbf    0x01    0x01
       448    0x01    0x01    0xc0    0x00    0x00
       449    0x01    0x01    0xc1    0x01    0x01
       450    0x01    0x01    0xc2    0x00    0x00
       451    0x01    0x01    0xc3    0x01    0x01
       452    0x01    0x01    0xc4    0x00    0x00
       453    0x01    0x01    0xc5    0x01    0x01
       454    0x01    0x01    0xc6    0x00    0x00
       455    0x01    0x01    0xc7    0x01    0x01
       456    0x01    0x01    0xc8    0x00    0x00
       457    0x01    0x01    0xc9    0x01    0x01
       458    0x01    0x01    0xca    0x00    0x00
       459    0x01    0x01    0xcb    0x01    0x01
       460    0x01    0x01    0xcc    0x00    0x00
       461    0x01    0x01    0xcd    0x01    0x01
       462    0x01    0x01    0xce    0x00    0x00
       463    0x01    0x01    0xcf    0x01    0x01
       464    0x01    0x01    0xd0    0x00    0x00
       465    0x01    0x01    0xd1    0x01    0x01
       466    0x01    0x01    0xd2    0x00    0x00
       467    0x01    0x01    0xd3    0x01    0x01
       468    0x01    0x01    0xd4    0x00    0x00
       469    0x01    0x01    0xd5    0x01    0x01
       470    0x01    0x01    0xd6    0x00    0x00
       471    0x01    0x01    0xd7    0x01    0x01
       472    0x01    0x01    0xd8    0x00    0x00
       473    0x01    0x01    0xd9    0x01    0x01
       474    0x01    0x01    0xda    0x00    0x00
       475    0x01    0x01    0xdb    0x01    0x01
       476    0x01    0x01    0xdc    0x00    0x00
       477    0x01    0x01    0xdd    0x01    0x01
       478    0x01    0x01    0xde    0x00    0x00
       479    0x01    0x01    0xdf    0x01    0x01
       480    0x01    0x01    0xe0    0x00    0x00
       481    0x01    0x01    0xe1    0x01    0x01
       482    0x01    0x01    0xe2    0x00    0x00
       483    0x01    0x01    0xe3    0x01    0x01
       484    0x01    0x01    0xe4    0x00    0x00
       485    0x01    0x01    0xe5    0x01    0x01
       486    0x01    0x01    0xe6    0x00    0x00
       487    0x01    0x01    0xe7    0x01    0x01
       488    0x01    0x01    0xe8    0x00    0x00
       489    0x01    0x01    0xe9    0x01    0x01
       490    0x01    0x01    0xea    0x00    0x00
       491    0x01    0x01    0xeb    0x01    0x01
       492    0x01    0x01    0xec    0x00    0x00
       493    0x01    0x01    0xed    0x01    0x01
       494    0x01    0x01    0xee    0x00    0x00
       495    0x01    0x01    0xef    0x01    0x01
       496    0x01    0x01    0xf0    0x00    0x00
       497    0x01    0x01    0xf1    0x01    0x01
       498    0x01    0x01    0xf2    0x00    0x00
       499    0x01    0x01    0xf3    0x01    0x01
       500    0x01    0x01    0xf4    0x00    0x00
       501    0x01    0x01    0xf5    0x01    0x01
       502    0x01    0x01    0xf6    0x00    0x00
       503    0x01    0x01    0xf7    0x01    0x01
       504    0x01    0x01    0xf8    0x00    0x00
       505    0x01    0x01    0xf9    0x01    0x01
       506    0x01    0x01    0xfa    0x00    0x00
       507    0x01    0x01    0xfb    0x01    0x01
       508    0x01    0x01    0xfc    0x00    0x00
       509    0x01    0x01    0xfd    0x01    0x01
       510    0x01    0x01    0xfe    0x00    0x00
       511    0x01    0x01    0xff    0x01    0x01

      TIME   ULA_OP     A       B    RESULT EXPECTED
       512    0x01    0x02    0x00    0x00    0x00
       513    0x01    0x02    0x01    0x00    0x00
       514    0x01    0x02    0x02    0x02    0x02
       515    0x01    0x02    0x03    0x02    0x02
       516    0x01    0x02    0x04    0x00    0x00
       517    0x01    0x02    0x05    0x00    0x00
       518    0x01    0x02    0x06    0x02    0x02
       519    0x01    0x02    0x07    0x02    0x02
       520    0x01    0x02    0x08    0x00    0x00
       521    0x01    0x02    0x09    0x00    0x00
       522    0x01    0x02    0x0a    0x02    0x02
       523    0x01    0x02    0x0b    0x02    0x02
       524    0x01    0x02    0x0c    0x00    0x00
       525    0x01    0x02    0x0d    0x00    0x00
       526    0x01    0x02    0x0e    0x02    0x02
       527    0x01    0x02    0x0f    0x02    0x02
       528    0x01    0x02    0x10    0x00    0x00
