VCD info: dumpfile sp.vcd opened for output.

### Test: stack pointer
-------------------------------------------------------------------------------------------------
      TIME     CLK     WE      OP      SP   EXPECTED
      1668    0x01    0x01    0x01    0x67    0x67
      1672    0x00    0x01    0x01    0x67    0x67
      1676    0x01    0x00    0x01    0x68    0x68
      1680    0x00    0x00    0x01    0x68    0x68
      1684    0x01    0x01    0x01    0x68    0x68
      1688    0x00    0x01    0x01    0x68    0x68
      1692    0x01    0x00    0x01    0x69    0x69
      1696    0x00    0x00    0x01    0x69    0x69
      1700    0x01    0x01    0x01    0x69    0x69
      1704    0x00    0x01    0x01    0x69    0x69
      1708    0x01    0x00    0x01    0x6a    0x6a
      1712    0x00    0x00    0x01    0x6a    0x6a
      1716    0x01    0x01    0x01    0x6a    0x6a
      1720    0x00    0x01    0x01    0x6a    0x6a
      1724    0x01    0x00    0x01    0x6b    0x6b
      1728    0x00    0x00    0x01    0x6b    0x6b
      1732    0x01    0x01    0x01    0x6b    0x6b
      1736    0x00    0x01    0x01    0x6b    0x6b
      1740    0x01    0x00    0x01    0x6c    0x6c
      1744    0x00    0x00    0x01    0x6c    0x6c
      1748    0x01    0x01    0x01    0x6c    0x6c
      1752    0x00    0x01    0x01    0x6c    0x6c
      1756    0x01    0x00    0x01    0x6d    0x6d
      1760    0x00    0x00    0x01    0x6d    0x6d
      1764    0x01    0x01    0x01    0x6d    0x6d
      1768    0x00    0x01    0x01    0x6d    0x6d
      1772    0x01    0x00    0x01    0x6e    0x6e
      1776    0x00    0x00    0x01    0x6e    0x6e
      1780    0x01    0x01    0x01    0x6e    0x6e
      1784    0x00    0x01    0x01    0x6e    0x6e
      1788    0x01    0x00    0x01    0x6f    0x6f
      1792    0x00    0x00    0x01    0x6f    0x6f
      1796    0x01    0x01    0x01    0x6f    0x6f
      1800    0x00    0x01    0x01    0x6f    0x6f
      1804    0x01    0x00    0x01    0x70    0x70
      1808    0x00    0x00    0x01    0x70    0x70
      1812    0x01    0x01    0x01    0x70    0x70
      1816    0x00    0x01    0x01    0x70    0x70
      1820    0x01    0x00    0x01    0x71    0x71
      1824    0x00    0x00    0x01    0x71    0x71
      1828    0x01    0x01    0x01    0x71    0x71
      1832    0x00    0x01    0x01    0x71    0x71
      1836    0x01    0x00    0x01    0x72    0x72
      1840    0x00    0x00    0x01    0x72    0x72
      1844    0x01    0x01    0x01    0x72    0x72
