VCD info: dumpfile ula_not.vcd opened for output.

### Test: not
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
       301    0x00    0x01    0x2d    0xd2    0xd2
       302    0x00    0x01    0x2e    0xd1    0xd1
       303    0x00    0x01    0x2f    0xd0    0xd0
       304    0x00    0x01    0x30    0xcf    0xcf
       305    0x00    0x01    0x31    0xce    0xce
       306    0x00    0x01    0x32    0xcd    0xcd
       307    0x00    0x01    0x33    0xcc    0xcc
       308    0x00    0x01    0x34    0xcb    0xcb
       309    0x00    0x01    0x35    0xca    0xca
       310    0x00    0x01    0x36    0xc9    0xc9
       311    0x00    0x01    0x37    0xc8    0xc8
       312    0x00    0x01    0x38    0xc7    0xc7
       313    0x00    0x01    0x39    0xc6    0xc6
       314    0x00    0x01    0x3a    0xc5    0xc5
       315    0x00    0x01    0x3b    0xc4    0xc4
       316    0x00    0x01    0x3c    0xc3    0xc3
       317    0x00    0x01    0x3d    0xc2    0xc2
       318    0x00    0x01    0x3e    0xc1    0xc1
       319    0x00    0x01    0x3f    0xc0    0xc0
       320    0x00    0x01    0x40    0xbf    0xbf
       321    0x00    0x01    0x41    0xbe    0xbe
       322    0x00    0x01    0x42    0xbd    0xbd
       323    0x00    0x01    0x43    0xbc    0xbc
       324    0x00    0x01    0x44    0xbb    0xbb
       325    0x00    0x01    0x45    0xba    0xba
       326    0x00    0x01    0x46    0xb9    0xb9
       327    0x00    0x01    0x47    0xb8    0xb8
       328    0x00    0x01    0x48    0xb7    0xb7
       329    0x00    0x01    0x49    0xb6    0xb6
       330    0x00    0x01    0x4a    0xb5    0xb5
       331    0x00    0x01    0x4b    0xb4    0xb4
       332    0x00    0x01    0x4c    0xb3    0xb3
       333    0x00    0x01    0x4d    0xb2    0xb2
       334    0x00    0x01    0x4e    0xb1    0xb1
       335    0x00    0x01    0x4f    0xb0    0xb0
       336    0x00    0x01    0x50    0xaf    0xaf
       337    0x00    0x01    0x51    0xae    0xae
       338    0x00    0x01    0x52    0xad    0xad
       339    0x00    0x01    0x53    0xac    0xac
       340    0x00    0x01    0x54    0xab    0xab
       341    0x00    0x01    0x55    0xaa    0xaa
       342    0x00    0x01    0x56    0xa9    0xa9
       343    0x00    0x01    0x57    0xa8    0xa8
       344    0x00    0x01    0x58    0xa7    0xa7
       345    0x00    0x01    0x59    0xa6    0xa6
       346    0x00    0x01    0x5a    0xa5    0xa5
       347    0x00    0x01    0x5b    0xa4    0xa4
       348    0x00    0x01    0x5c    0xa3    0xa3
       349    0x00    0x01    0x5d    0xa2    0xa2
       350    0x00    0x01    0x5e    0xa1    0xa1
       351    0x00    0x01    0x5f    0xa0    0xa0
       352    0x00    0x01    0x60    0x9f    0x9f
       353    0x00    0x01    0x61    0x9e    0x9e
       354    0x00    0x01    0x62    0x9d    0x9d
       355    0x00    0x01    0x63    0x9c    0x9c
       356    0x00    0x01    0x64    0x9b    0x9b
       357    0x00    0x01    0x65    0x9a    0x9a
       358    0x00    0x01    0x66    0x99    0x99
       359    0x00    0x01    0x67    0x98    0x98
       360    0x00    0x01    0x68    0x97    0x97
       361    0x00    0x01    0x69    0x96    0x96
       362    0x00    0x01    0x6a    0x95    0x95
       363    0x00    0x01    0x6b    0x94    0x94
       364    0x00    0x01    0x6c    0x93    0x93
       365    0x00    0x01    0x6d    0x92    0x92
       366    0x00    0x01    0x6e    0x91    0x91
       367    0x00    0x01    0x6f    0x90    0x90
       368    0x00    0x01    0x70    0x8f    0x8f
       369    0x00    0x01    0x71    0x8e    0x8e
       370    0x00    0x01    0x72    0x8d    0x8d
       371    0x00    0x01    0x73    0x8c    0x8c
       372    0x00    0x01    0x74    0x8b    0x8b
       373    0x00    0x01    0x75    0x8a    0x8a
       374    0x00    0x01    0x76    0x89    0x89
       375    0x00    0x01    0x77    0x88    0x88
       376    0x00    0x01    0x78    0x87    0x87
       377    0x00    0x01    0x79    0x86    0x86
       378    0x00    0x01    0x7a    0x85    0x85
       379    0x00    0x01    0x7b    0x84    0x84
       380    0x00    0x01    0x7c    0x83    0x83
       381    0x00    0x01    0x7d    0x82    0x82
       382    0x00    0x01    0x7e    0x81    0x81
       383    0x00    0x01    0x7f    0x80    0x80
       384    0x00    0x01    0x80    0x7f    0x7f
       385    0x00    0x01    0x81    0x7e    0x7e
       386    0x00    0x01    0x82    0x7d    0x7d
       387    0x00    0x01    0x83    0x7c    0x7c
       388    0x00    0x01    0x84    0x7b    0x7b
       389    0x00    0x01    0x85    0x7a    0x7a
       390    0x00    0x01    0x86    0x79    0x79
       391    0x00    0x01    0x87    0x78    0x78
       392    0x00    0x01    0x88    0x77    0x77
       393    0x00    0x01    0x89    0x76    0x76
       394    0x00    0x01    0x8a    0x75    0x75
       395    0x00    0x01    0x8b    0x74    0x74
       396    0x00    0x01    0x8c    0x73    0x73
       397    0x00    0x01    0x8d    0x72    0x72
       398    0x00    0x01    0x8e    0x71    0x71
       399    0x00    0x01    0x8f    0x70    0x70
       400    0x00    0x01    0x90    0x6f    0x6f
       401    0x00    0x01    0x91    0x6e    0x6e
       402    0x00    0x01    0x92    0x6d    0x6d
       403    0x00    0x01    0x93    0x6c    0x6c
       404    0x00    0x01    0x94    0x6b    0x6b
       405    0x00    0x01    0x95    0x6a    0x6a
       406    0x00    0x01    0x96    0x69    0x69
       407    0x00    0x01    0x97    0x68    0x68
       408    0x00    0x01    0x98    0x67    0x67
       409    0x00    0x01    0x99    0x66    0x66
       410    0x00    0x01    0x9a    0x65    0x65
       411    0x00    0x01    0x9b    0x64    0x64
       412    0x00    0x01    0x9c    0x63    0x63
       413    0x00    0x01    0x9d    0x62    0x62
       414    0x00    0x01    0x9e    0x61    0x61
       415    0x00    0x01    0x9f    0x60    0x60
       416    0x00    0x01    0xa0    0x5f    0x5f
       417    0x00    0x01    0xa1    0x5e    0x5e
       418    0x00    0x01    0xa2    0x5d    0x5d
       419    0x00    0x01    0xa3    0x5c    0x5c
       420    0x00    0x01    0xa4    0x5b    0x5b
       421    0x00    0x01    0xa5    0x5a    0x5a
       422    0x00    0x01    0xa6    0x59    0x59
       423    0x00    0x01    0xa7    0x58    0x58
       424    0x00    0x01    0xa8    0x57    0x57
       425    0x00    0x01    0xa9    0x56    0x56
       426    0x00    0x01    0xaa    0x55    0x55
       427    0x00    0x01    0xab    0x54    0x54
       428    0x00    0x01    0xac    0x53    0x53
       429    0x00    0x01    0xad    0x52    0x52
       430    0x00    0x01    0xae    0x51    0x51
       431    0x00    0x01    0xaf    0x50    0x50
       432    0x00    0x01    0xb0    0x4f    0x4f
       433    0x00    0x01    0xb1    0x4e    0x4e
       434    0x00    0x01    0xb2    0x4d    0x4d
       435    0x00    0x01    0xb3    0x4c    0x4c
       436    0x00    0x01    0xb4    0x4b    0x4b
       437    0x00    0x01    0xb5    0x4a    0x4a
       438    0x00    0x01    0xb6    0x49    0x49
       439    0x00    0x01    0xb7    0x48    0x48
       440    0x00    0x01    0xb8    0x47    0x47
       441    0x00    0x01    0xb9    0x46    0x46
       442    0x00    0x01    0xba    0x45    0x45
       443    0x00    0x01    0xbb    0x44    0x44
       444    0x00    0x01    0xbc    0x43    0x43
       445    0x00    0x01    0xbd    0x42    0x42
       446    0x00    0x01    0xbe    0x41    0x41
       447    0x00    0x01    0xbf    0x40    0x40
       448    0x00    0x01    0xc0    0x3f    0x3f
       449    0x00    0x01    0xc1    0x3e    0x3e
       450    0x00    0x01    0xc2    0x3d    0x3d
       451    0x00    0x01    0xc3    0x3c    0x3c
       452    0x00    0x01    0xc4    0x3b    0x3b
       453    0x00    0x01    0xc5    0x3a    0x3a
       454    0x00    0x01    0xc6    0x39    0x39
       455    0x00    0x01    0xc7    0x38    0x38
       456    0x00    0x01    0xc8    0x37    0x37
       457    0x00    0x01    0xc9    0x36    0x36
       458    0x00    0x01    0xca    0x35    0x35
       459    0x00    0x01    0xcb    0x34    0x34
       460    0x00    0x01    0xcc    0x33    0x33
       461    0x00    0x01    0xcd    0x32    0x32
       462    0x00    0x01    0xce    0x31    0x31
       463    0x00    0x01    0xcf    0x30    0x30
       464    0x00    0x01    0xd0    0x2f    0x2f
       465    0x00    0x01    0xd1    0x2e    0x2e
       466    0x00    0x01    0xd2    0x2d    0x2d
       467    0x00    0x01    0xd3    0x2c    0x2c
       468    0x00    0x01    0xd4    0x2b    0x2b
       469    0x00    0x01    0xd5    0x2a    0x2a
       470    0x00    0x01    0xd6    0x29    0x29
       471    0x00    0x01    0xd7    0x28    0x28
       472    0x00    0x01    0xd8    0x27    0x27
