VCD info: dumpfile ula_sub.vcd opened for output.

### Test: sub
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
       353    0x05    0x01    0x61    0xa0    0xa0
       354    0x05    0x01    0x62    0x9f    0x9f
       355    0x05    0x01    0x63    0x9e    0x9e
       356    0x05    0x01    0x64    0x9d    0x9d
       357    0x05    0x01    0x65    0x9c    0x9c
       358    0x05    0x01    0x66    0x9b    0x9b
       359    0x05    0x01    0x67    0x9a    0x9a
       360    0x05    0x01    0x68    0x99    0x99
       361    0x05    0x01    0x69    0x98    0x98
       362    0x05    0x01    0x6a    0x97    0x97
       363    0x05    0x01    0x6b    0x96    0x96
       364    0x05    0x01    0x6c    0x95    0x95
       365    0x05    0x01    0x6d    0x94    0x94
       366    0x05    0x01    0x6e    0x93    0x93
       367    0x05    0x01    0x6f    0x92    0x92
       368    0x05    0x01    0x70    0x91    0x91
       369    0x05    0x01    0x71    0x90    0x90
       370    0x05    0x01    0x72    0x8f    0x8f
       371    0x05    0x01    0x73    0x8e    0x8e
       372    0x05    0x01    0x74    0x8d    0x8d
       373    0x05    0x01    0x75    0x8c    0x8c
       374    0x05    0x01    0x76    0x8b    0x8b
       375    0x05    0x01    0x77    0x8a    0x8a
       376    0x05    0x01    0x78    0x89    0x89
       377    0x05    0x01    0x79    0x88    0x88
       378    0x05    0x01    0x7a    0x87    0x87
       379    0x05    0x01    0x7b    0x86    0x86
       380    0x05    0x01    0x7c    0x85    0x85
       381    0x05    0x01    0x7d    0x84    0x84
       382    0x05    0x01    0x7e    0x83    0x83
       383    0x05    0x01    0x7f    0x82    0x82
       384    0x05    0x01    0x80    0x81    0x81
       385    0x05    0x01    0x81    0x80    0x80
       386    0x05    0x01    0x82    0x7f    0x7f
       387    0x05    0x01    0x83    0x7e    0x7e
       388    0x05    0x01    0x84    0x7d    0x7d
       389    0x05    0x01    0x85    0x7c    0x7c
       390    0x05    0x01    0x86    0x7b    0x7b
       391    0x05    0x01    0x87    0x7a    0x7a
       392    0x05    0x01    0x88    0x79    0x79
       393    0x05    0x01    0x89    0x78    0x78
       394    0x05    0x01    0x8a    0x77    0x77
       395    0x05    0x01    0x8b    0x76    0x76
       396    0x05    0x01    0x8c    0x75    0x75
       397    0x05    0x01    0x8d    0x74    0x74
       398    0x05    0x01    0x8e    0x73    0x73
       399    0x05    0x01    0x8f    0x72    0x72
       400    0x05    0x01    0x90    0x71    0x71
       401    0x05    0x01    0x91    0x70    0x70
       402    0x05    0x01    0x92    0x6f    0x6f
       403    0x05    0x01    0x93    0x6e    0x6e
       404    0x05    0x01    0x94    0x6d    0x6d
       405    0x05    0x01    0x95    0x6c    0x6c
       406    0x05    0x01    0x96    0x6b    0x6b
       407    0x05    0x01    0x97    0x6a    0x6a
       408    0x05    0x01    0x98    0x69    0x69
       409    0x05    0x01    0x99    0x68    0x68
       410    0x05    0x01    0x9a    0x67    0x67
       411    0x05    0x01    0x9b    0x66    0x66
       412    0x05    0x01    0x9c    0x65    0x65
       413    0x05    0x01    0x9d    0x64    0x64
       414    0x05    0x01    0x9e    0x63    0x63
       415    0x05    0x01    0x9f    0x62    0x62
       416    0x05    0x01    0xa0    0x61    0x61
       417    0x05    0x01    0xa1    0x60    0x60
       418    0x05    0x01    0xa2    0x5f    0x5f
       419    0x05    0x01    0xa3    0x5e    0x5e
       420    0x05    0x01    0xa4    0x5d    0x5d
       421    0x05    0x01    0xa5    0x5c    0x5c
       422    0x05    0x01    0xa6    0x5b    0x5b
       423    0x05    0x01    0xa7    0x5a    0x5a
       424    0x05    0x01    0xa8    0x59    0x59
       425    0x05    0x01    0xa9    0x58    0x58
       426    0x05    0x01    0xaa    0x57    0x57
       427    0x05    0x01    0xab    0x56    0x56
       428    0x05    0x01    0xac    0x55    0x55
       429    0x05    0x01    0xad    0x54    0x54
       430    0x05    0x01    0xae    0x53    0x53
       431    0x05    0x01    0xaf    0x52    0x52
       432    0x05    0x01    0xb0    0x51    0x51
       433    0x05    0x01    0xb1    0x50    0x50
       434    0x05    0x01    0xb2    0x4f    0x4f
       435    0x05    0x01    0xb3    0x4e    0x4e
       436    0x05    0x01    0xb4    0x4d    0x4d
       437    0x05    0x01    0xb5    0x4c    0x4c
       438    0x05    0x01    0xb6    0x4b    0x4b
       439    0x05    0x01    0xb7    0x4a    0x4a
       440    0x05    0x01    0xb8    0x49    0x49
       441    0x05    0x01    0xb9    0x48    0x48
       442    0x05    0x01    0xba    0x47    0x47
       443    0x05    0x01    0xbb    0x46    0x46
       444    0x05    0x01    0xbc    0x45    0x45
       445    0x05    0x01    0xbd    0x44    0x44
       446    0x05    0x01    0xbe    0x43    0x43
       447    0x05    0x01    0xbf    0x42    0x42
       448    0x05    0x01    0xc0    0x41    0x41
       449    0x05    0x01    0xc1    0x40    0x40
       450    0x05    0x01    0xc2    0x3f    0x3f
       451    0x05    0x01    0xc3    0x3e    0x3e
       452    0x05    0x01    0xc4    0x3d    0x3d
       453    0x05    0x01    0xc5    0x3c    0x3c
       454    0x05    0x01    0xc6    0x3b    0x3b
       455    0x05    0x01    0xc7    0x3a    0x3a
       456    0x05    0x01    0xc8    0x39    0x39
       457    0x05    0x01    0xc9    0x38    0x38
       458    0x05    0x01    0xca    0x37    0x37
       459    0x05    0x01    0xcb    0x36    0x36
       460    0x05    0x01    0xcc    0x35    0x35
       461    0x05    0x01    0xcd    0x34    0x34
       462    0x05    0x01    0xce    0x33    0x33
       463    0x05    0x01    0xcf    0x32    0x32
       464    0x05    0x01    0xd0    0x31    0x31
       465    0x05    0x01    0xd1    0x30    0x30
       466    0x05    0x01    0xd2    0x2f    0x2f
       467    0x05    0x01    0xd3    0x2e    0x2e
       468    0x05    0x01    0xd4    0x2d    0x2d
       469    0x05    0x01    0xd5    0x2c    0x2c
       470    0x05    0x01    0xd6    0x2b    0x2b
       471    0x05    0x01    0xd7    0x2a    0x2a
       472    0x05    0x01    0xd8    0x29    0x29
       473    0x05    0x01    0xd9    0x28    0x28
       474    0x05    0x01    0xda    0x27    0x27
       475    0x05    0x01    0xdb    0x26    0x26
       476    0x05    0x01    0xdc    0x25    0x25
       477    0x05    0x01    0xdd    0x24    0x24
       478    0x05    0x01    0xde    0x23    0x23
       479    0x05    0x01    0xdf    0x22    0x22
       480    0x05    0x01    0xe0    0x21    0x21
       481    0x05    0x01    0xe1    0x20    0x20
       482    0x05    0x01    0xe2    0x1f    0x1f
       483    0x05    0x01    0xe3    0x1e    0x1e
       484    0x05    0x01    0xe4    0x1d    0x1d
       485    0x05    0x01    0xe5    0x1c    0x1c
       486    0x05    0x01    0xe6    0x1b    0x1b
       487    0x05    0x01    0xe7    0x1a    0x1a
       488    0x05    0x01    0xe8    0x19    0x19
       489    0x05    0x01    0xe9    0x18    0x18
       490    0x05    0x01    0xea    0x17    0x17
       491    0x05    0x01    0xeb    0x16    0x16
       492    0x05    0x01    0xec    0x15    0x15
       493    0x05    0x01    0xed    0x14    0x14
       494    0x05    0x01    0xee    0x13    0x13
       495    0x05    0x01    0xef    0x12    0x12
       496    0x05    0x01    0xf0    0x11    0x11
       497    0x05    0x01    0xf1    0x10    0x10
       498    0x05    0x01    0xf2    0x0f    0x0f
       499    0x05    0x01    0xf3    0x0e    0x0e
       500    0x05    0x01    0xf4    0x0d    0x0d
       501    0x05    0x01    0xf5    0x0c    0x0c
       502    0x05    0x01    0xf6    0x0b    0x0b
       503    0x05    0x01    0xf7    0x0a    0x0a
       504    0x05    0x01    0xf8    0x09    0x09
       505    0x05    0x01    0xf9    0x08    0x08
       506    0x05    0x01    0xfa    0x07    0x07
       507    0x05    0x01    0xfb    0x06    0x06
       508    0x05    0x01    0xfc    0x05    0x05
       509    0x05    0x01    0xfd    0x04    0x04
       510    0x05    0x01    0xfe    0x03    0x03
       511    0x05    0x01    0xff    0x02    0x02

      TIME   ULA_OP     A       B    RESULT EXPECTED
       512    0x05    0x02    0x00    0x02    0x02
       513    0x05    0x02    0x01    0x01    0x01
       514    0x05    0x02    0x02    0x00    0x00
       515    0x05    0x02    0x03    0xff    0xff
       516    0x05    0x02    0x04    0xfe    0xfe
       517    0x05    0x02    0x05    0xfd    0xfd
